LAST_UPDATE,FREQUENCY,DESTINATION,PURPOSE,DURATION,UNIT,COUNTRY,TIME_PERIOD,OBS_VALUE
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2021,41330407
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NL,2022,41989800
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2013,15919247
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2014,19137212
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2015,17879796
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2016,17453107
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2017,18374095
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2018,22236771
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,NO,2021,20231575
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2012,45393594
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2013,47381735
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2014,46601121
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2015,48700497
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2016,52548595
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2017,55176857
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2018,57605263
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2019,60624660
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2020,42760021
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2021,50799165
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PL,2022,60469189
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2012,12827024
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2013,13658478
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2014,13203235
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2015,14171255
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2016,14375075
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2017,16025008
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2018,16539484
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2019,18576455
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2020,11468879
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2021,13656709
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,PT,2022,17464959
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2012,16410642
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2013,17177613
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2014,16855253
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2015,16070931
